hora,hS,hE,hI,hR,vS,vI,mosq_total
0,139751,80,119,50,290517,203,290720
4,139750,81,119,50,393963,230,394193
8,139749,82,119,50,436071,266,436337
12,139748,83,119,50,452826,271,453097
16,139748,83,119,50,459655,271,459926
20,139747,84,119,50,462619,304,462923
24,139742,89,119,50,463778,344,464122
28,139742,89,119,50,464236,378,464614
32,139738,93,119,50,464350,421,464771
36,139738,93,119,50,464400,432,464832
40,139738,93,119,50,464431,432,464863
44,139737,94,119,50,464416,465,464881
48,139736,95,119,50,264726,327,265053
52,139736,95,119,50,331687,331,332018
56,139735,96,119,50,406059,321,406380
60,139735,96,119,50,436818,305,437123
64,139735,96,119,50,448096,305,448401
68,139734,97,119,50,451885,315,452200
72,139734,97,119,50,453469,312,453781
76,139731,100,119,50,454034,321,454355
80,139731,100,119,50,454317,303,454620
84,139730,101,119,50,454779,294,455073
88,139730,101,119,50,454814,294,455108
92,139728,103,119,50,454523,288,454811
96,139728,103,119,50,447606,291,447897
100,139722,109,119,50,430465,307,430772
104,139721,110,119,50,437547,307,437854
108,139720,111,119,50,450150,303,450453
112,139720,111,119,50,453255,303,453558
116,139719,112,119,50,453274,306,453580
120,139719,112,119,50,453562,294,453856
124,139717,114,119,50,453744,302,454046
128,139715,116,119,50,453799,299,454098
132,139714,117,119,50,454834,292,455126
136,139714,117,119,50,454849,292,455141
140,139712,119,119,50,453789,310,454099
144,139708,123,119,50,450204,313,450517
148,139708,123,119,50,440629,312,440941
152,139707,124,119,50,439349,326,439675
156,139707,124,119,50,450948,321,451269
160,139707,124,119,50,453812,321,454133
164,139705,126,119,50,452858,335,453193
168,139705,126,119,50,452987,340,453327
172,139703,128,119,50,452940,352,453292
176,139700,131,119,50,453141,355,453496
180,139700,131,119,50,454762,344,455106
184,139700,131,119,50,454799,344,455143
188,139700,131,119,50,453176,356,453532
192,139698,133,119,50,451258,351,451609
196,139695,136,119,50,445231,338,445569
200,139694,137,119,50,440962,329,441291
204,139694,137,119,50,451348,317,451665
208,139694,137,119,50,453928,317,454245
212,139692,139,119,50,452418,319,452737
216,139690,141,119,50,452482,322,452804
220,139688,143,119,50,452598,307,452905
224,139685,146,119,50,452614,301,452915
228,139685,146,119,50,454804,292,455096
232,139685,146,119,50,454852,292,455144
236,139685,146,119,50,452816,296,453112
240,139733,68,199,0,451699,312,452011
244,139731,69,200,0,447446,358,447804
248,139730,69,201,0,443861,395,444256
252,139729,69,202,0,451465,398,451863
256,139729,69,202,0,454046,398,454444
260,139728,69,203,0,452074,425,452499
264,139724,68,208,0,451924,460,452384
268,139724,68,208,0,452025,483,452508
272,139723,65,212,0,452076,514,452590
276,139722,66,212,0,454509,520,455029
280,139722,66,212,0,454624,520,455144
284,139718,69,213,0,452214,551,452765
288,139716,70,214,0,451544,562,452106
292,139711,75,214,0,448223,550,448773
296,139709,76,215,0,445814,552,446366
300,139709,76,215,0,451132,527,451659
304,139709,76,215,0,454070,527,454597
308,139708,76,216,0,451909,557,452466
312,139703,81,216,0,451528,567,452095
316,139700,81,219,0,451417,584,452001
320,139693,88,219,0,451706,576,452282
324,139690,90,220,0,454389,561,454950
328,139690,90,220,0,454583,561,455144
332,139688,90,222,0,451985,592,452577
336,139685,93,222,0,451290,597,451887
340,139681,91,228,0,448945,598,449543
344,139674,97,229,0,447179,608,447787
348,139673,97,230,0,450557,600,451157
352,139673,97,230,0,454051,600,454651
