hora,hS,hE,hI,hR,vS,vI,mosq_total
0,139752,78,120,50,291758,202,291960
4,139750,80,120,50,394183,229,394412
8,139749,81,120,50,435259,262,435521
12,139749,81,120,50,452567,265,452832
16,139749,81,120,50,459857,265,460122
20,139745,85,120,50,462683,300,462983
24,139741,89,120,50,463857,330,464187
28,139738,92,120,50,464276,365,464641
32,139735,95,120,50,464429,410,464839
36,139734,96,120,50,464494,417,464911
40,139734,96,120,50,464529,417,464946
44,139730,100,120,50,464533,452,464985
48,139724,106,120,50,264154,343,264497
52,139720,110,120,50,331401,352,331753
56,139717,113,120,50,406159,352,406511
60,139717,113,120,50,436997,345,437342
64,139717,113,120,50,447914,345,448259
68,139716,114,120,50,451677,338,452015
72,139715,115,120,50,453451,332,453783
76,139713,117,120,50,454148,322,454470
80,139708,122,120,50,454498,322,454820
84,139707,123,120,50,454883,314,455197
88,139707,123,120,50,454916,314,455230
92,139706,124,120,50,454570,309,454879
96,139701,129,120,50,447689,295,447984
100,139700,130,120,50,431498,306,431804
104,139699,131,120,50,438212,308,438520
108,139699,131,120,50,449992,301,450293
112,139699,131,120,50,453329,301,453630
116,139697,133,120,50,453322,313,453635
120,139697,133,120,50,453577,317,453894
124,139691,139,120,50,453754,314,454068
128,139690,140,120,50,453834,336,454170
132,139689,141,120,50,454911,325,455236
136,139689,141,120,50,454921,325,455246
140,139688,142,120,50,453867,343,454210
144,139685,145,120,50,450277,338,450615
148,139684,146,120,50,441147,332,441479
152,139684,146,120,50,439533,328,439861
156,139684,146,120,50,450881,321,451202
160,139684,146,120,50,453752,321,454073
164,139683,147,120,50,452856,326,453182
168,139681,149,120,50,453000,335,453335
172,139678,152,120,50,453246,331,453577
176,139675,155,120,50,453214,334,453548
180,139675,155,120,50,454922,306,455228
184,139675,155,120,50,454943,306,455249
188,139673,157,120,50,453331,313,453644
192,139672,158,120,50,451433,308,451741
196,139670,160,120,50,445429,319,445748
200,139667,163,120,50,441251,315,441566
204,139667,163,120,50,451401,310,451711
208,139667,163,120,50,454126,310,454436
212,139667,163,120,50,452520,321,452841
216,139665,165,120,50,452546,328,452874
220,139664,166,120,50,452739,325,453064
224,139664,166,120,50,452761,312,453073
228,139663,167,120,50,454888,311,455199
232,139663,167,120,50,454939,311,455250
236,139663,167,120,50,452905,322,453227
240,139711,91,198,0,451781,331,452112
244,139708,92,200,0,447263,357,447620
248,139706,93,201,0,444122,394,444516
252,139706,93,201,0,451512,379,451891
256,139706,93,201,0,454148,379,454527
260,139704,91,205,0,452194,410,452604
264,139698,93,209,0,452011,421,452432
268,139696,92,212,0,452158,455,452613
272,139695,90,215,0,451990,502,452492
276,139694,90,216,0,454633,508,455141
280,139694,90,216,0,454741,508,455249
284,139691,89,220,0,452412,529,452941
288,139689,85,226,0,451592,546,452138
292,139686,84,230,0,448261,562,448823
296,139681,86,233,0,446231,573,446804
300,139681,86,233,0,451311,574,451885
304,139681,86,233,0,454079,574,454653
308,139676,90,234,0,451820,608,452428
312,139672,93,235,0,451636,614,452250
316,139669,94,237,0,451637,634,452271
320,139666,92,242,0,451655,641,452296
324,139663,94,243,0,454454,624,455078
328,139663,94,243,0,454625,624,455249
332,139658,98,244,0,451930,638,452568
336,139656,95,249,0,451368,647,452015
340,139651,99,250,0,448975,669,449644
344,139647,102,251,0,447304,670,447974
348,139646,103,251,0,450872,648,451520
352,139646,103,251,0,454072,648,454720
356,139643,104,253,0,451712,678,452390
360,139639,108,133,120,451308,673,451981
364,139636,105,139,120,451346,636,451982
368,139633,107,140,120,451448,605,452053
372,139631,108,141,120,454314,579,454893
376,139631,108,141,120,454671,579,455250
380,139629,109,142,120,452025,580,452605
384,139626,109,145,120,451320,559,451879
388,139624,110,146,120,449645,530,450175
392,139620,114,146,120,448397,492,448889
396,139619,115,146,120,450380,466,450846
400,139619,115,146,120,454316,466,454782
404,139616,117,147,120,451856,448,452304
408,139612,119,149,120,451442,435,451877
412,139611,117,152,120,451323,431,451754
416,139607,118,155,120,451439,415,451854
420,139607,118,155,120,454340,408,454748
424,139607,118,155,120,454842,408,455250
428,139605,118,157,120,452207,407,452614
432,139600,122,158,120,451419,404,451823
436,139600,120,160,120,450001,396,450397
440,139598,119,163,120,449351,393,449744
444,139598,119,163,120,450788,379,451167
448,139598,119,163,120,454457,379,454836
452,139596,121,163,120,451906,390,452296
456,139594,121,165,120,451191,403,451594
460,139592,122,166,120,451281,411,451692
464,139592,122,166,120,451311,438,451749
468,139592,121,167,120,454071,428,454499
472,139592,121,167,120,454822,428,455250
476,139589,124,167,120,452081,432,452513
480,139587,124,169,120,451149,434,451583
484,139587,121,172,120,450339,447,450786
488,139585,121,174,120,449528,461,449989
492,139584,122,174,120,451233,456,451689
496,139584,122,174,120,454429,456,454885
500,139582,122,176,120,451981,469,452450
504,139578,120,182,120,450939,461,451400
508,139574,122,184,120,450977,473,451450
512,139572,123,185,120,451070,472,451542
516,139572,122,186,120,453801,458,454259
520,139572,122,186,120,454792,458,455250
524,139570,121,189,120,451996,474,452470
528,139568,121,191,120,451101,477,451578
532,139568,118,194,120,450323,488,450811
536,139563,118,199,120,450084,488,450572
540,139563,118,199,120,451530,477,452007
544,139563,118,199,120,454355,477,454832
548,139560,116,204,120,451968,498,452466
552,139555,117,208,120,450906,518,451424
556,139551,118,211,120,450889,543,451432
560,139546,120,214,120,450836,574,451410
564,139546,117,217,120,453549,563,454112
568,139546,117,217,120,454682,563,455245
572,139543,115,222,120,451925,585,452510
576,139541,115,224,120,450971,580,451551
580,139536,115,229,120,450408,581,450989
584,139530,117,233,120,449973,577,450550
588,139530,116,234,120,451934,570,452504
592,139530,116,234,120,454278,570,454848
596,139528,115,237,120,451839,609,452448
600,139647,112,163,78,450713,608,451321
604,139646,110,164,80,450728,595,451323
608,139643,110,166,81,450902,559,451461
612,139643,108,168,81,453515,540,454055
616,139643,108,168,81,454708,540,455248
620,139640,109,166,85,451915,542,452457
624,139636,110,165,89,450868,539,451407
628,139634,110,164,92,450741,524,451265
632,139632,108,165,95,450211,506,450717
636,139632,107,165,96,452329,491,452820
640,139632,107,165,96,454366,491,454857
644,139629,107,164,100,451952,482,452434
648,139624,108,162,106,450825,453,451278
652,139621,110,159,110,451085,437,451522
656,139620,107,160,113,450849,440,451289
660,139620,108,160,112,453550,421,453971
664,139620,108,160,112,454821,421,455242
668,139619,107,161,113,452183,437,452620
672,139616,105,165,114,450997,439,451436
676,139614,107,163,116,450737,437,451174
680,139610,109,160,121,450360,437,450797
684,139608,111,159,122,452478,426,452904
688,139608,111,159,122,454425,426,454851
692,139605,112,160,123,451954,441,452395
696,139604,111,157,128,450791,438,451229
700,139598,115,158,129,450753,441,451194
704,139597,116,157,130,450747,449,451196
708,139597,116,157,130,453451,442,453893
712,139597,116,157,130,454799,442,455241
716,139597,114,158,131,452188,447,452635
720,139594,115,160,131,450883,438,451321
724,139590,119,154,137,450645,442,451087
728,139587,120,155,138,450494,444,450938
732,139587,119,155,139,452775,439,453214
736,139587,119,155,139,454479,439,454918
740,139582,122,156,140,452135,445,452580
744,139581,119,157,143,450890,449,451339
748,139579,117,160,144,450675,462,451137
752,139576,118,162,144,450813,450,451263
756,139576,118,162,144,453379,431,453810
760,139576,118,162,144,454813,431,455244
764,139576,116,163,145,452104,446,452550
768,139574,116,163,147,450874,458,451332
772,139572,118,160,150,450701,459,451160
776,139571,114,162,153,450296,461,450757
780,139570,115,162,153,452782,440,453222
784,139570,115,162,153,454463,440,454903
788,139567,115,163,155,452098,450,452548
792,139567,110,167,156,450892,448,451340
796,139565,108,169,158,450830,435,451265
800,139564,104,171,161,450618,447,451065
804,139563,105,171,161,453362,435,453797
808,139563,105,171,161,454800,435,455235
812,139562,103,174,161,452166,446,452612
816,139560,103,174,163,450982,440,451422
820,139556,102,178,164,450827,445,451272
824,139555,97,184,164,450583,463,451046
828,139555,97,183,165,453065,453,453518
832,139555,97,183,165,454471,453,454924
836,139552,98,185,165,452035,468,452503
840,139629,97,184,90,450814,482,451296
844,139628,99,182,91,450579,493,451072
848,139625,100,183,92,450683,506,451189
852,139625,100,183,92,453293,499,453792
856,139625,100,183,92,454725,499,455224
860,139629,97,184,90,452090,513,452603
864,139630,96,182,92,450834,517,451351
868,139628,99,182,91,450603,540,451143
872,139622,106,183,89,450570,515,451085
876,139621,108,182,89,453055,501,453556
880,139621,108,182,89,454485,501,454986
884,139622,107,182,89,452186,516,452702
888,139627,103,185,85,450780,513,451293
892,139629,102,185,84,450567,508,451075
896,139630,103,181,86,450465,494,450959
900,139630,102,182,86,453274,478,453752
904,139630,102,182,86,454750,478,455228
908,139630,102,178,90,452080,493,452573
912,139631,99,177,93,450918,499,451417
916,139630,100,176,94,450564,492,451056
920,139632,99,177,92,450526,490,451016
924,139633,97,176,94,453252,481,453733
928,139633,97,176,94,454486,481,454967
932,139633,95,174,98,451932,500,452432
936,139637,95,173,95,450819,510,451329
940,139632,95,174,99,450560,503,451063
944,139632,95,171,102,450633,500,451133
948,139631,96,170,103,453357,493,453850
952,139631,96,170,103,454729,493,455222
