hora,hS,hE,hI,hR,vS,vI,mosq_total
0,139752,80,118,50,291192,205,291397
4,139750,82,118,50,393531,234,393765
8,139749,83,118,50,435093,275,435368
12,139747,85,118,50,452478,283,452761
16,139747,85,118,50,459721,283,460004
20,139745,87,118,50,462457,313,462770
24,139742,90,118,50,463592,350,463942
28,139742,90,118,50,464032,384,464416
32,139741,91,118,50,464192,413,464605
36,139741,91,118,50,464259,420,464679
40,139741,91,118,50,464277,420,464697
44,139736,96,118,50,464264,451,464715
48,139735,97,118,50,264771,336,265107
52,139731,101,118,50,331629,330,331959
56,139730,102,118,50,406541,313,406854
60,139730,102,118,50,437864,312,438176
64,139730,102,118,50,448448,312,448760
68,139727,105,118,50,452139,319,452458
72,139723,109,118,50,453619,295,453914
76,139722,110,118,50,454091,295,454386
80,139720,112,118,50,454348,277,454625
84,139720,112,118,50,454768,274,455042
88,139720,112,118,50,454813,274,455087
92,139720,112,118,50,454509,279,454788
96,139717,115,118,50,447747,271,448018
100,139713,119,118,50,431203,269,431472
104,139712,120,118,50,437778,281,438059
108,139712,120,118,50,449951,274,450225
112,139712,120,118,50,453286,274,453560
116,139711,121,118,50,453290,281,453571
120,139710,122,118,50,453494,303,453797
124,139709,123,118,50,453685,315,454000
128,139708,124,118,50,453671,313,453984
132,139708,124,118,50,454822,307,455129
136,139708,124,118,50,454836,307,455143
140,139707,125,118,50,453813,316,454129
144,139706,126,118,50,450186,315,450501
148,139706,126,118,50,440884,318,441202
152,139706,126,118,50,439078,323,439401
156,139706,126,118,50,450952,313,451265
160,139706,126,118,50,453703,313,454016
164,139703,129,118,50,452847,319,453166
168,139703,129,118,50,452957,316,453273
172,139696,136,118,50,453078,307,453385
176,139695,137,118,50,453097,321,453418
180,139695,137,118,50,454806,311,455117
184,139695,137,118,50,454828,311,455139
188,139694,138,118,50,453193,319,453512
192,139692,140,118,50,451291,316,451607
196,139690,142,118,50,445166,319,445485
200,139689,143,118,50,441186,326,441512
204,139688,144,118,50,451269,324,451593
208,139688,144,118,50,453896,324,454220
212,139688,144,118,50,452457,328,452785
216,139684,148,118,50,452465,327,452792
220,139681,151,118,50,452651,336,452987
224,139679,153,118,50,452611,339,452950
228,139679,153,118,50,454757,329,455086
232,139679,153,118,50,454814,329,455143
236,139678,154,118,50,452751,326,453077
240,139722,80,198,0,451691,346,452037
244,139720,80,200,0,447233,362,447595
248,139717,82,201,0,443930,382,444312
252,139717,80,203,0,451374,378,451752
256,139717,80,203,0,454026,378,454404
260,139716,79,205,0,452055,403,452458
264,139711,81,208,0,452038,429,452467
268,139706,86,208,0,452076,442,452518
272,139703,88,209,0,452046,481,452527
276,139701,90,209,0,454557,479,455036
280,139701,90,209,0,454663,479,455142
284,139700,86,214,0,452346,511,452857
288,139697,88,215,0,451499,538,452037
292,139693,88,219,0,448005,533,448538
296,139688,92,220,0,446009,533,446542
300,139686,94,220,0,451138,525,451663
304,139686,94,220,0,454021,525,454546
308,139682,95,223,0,451774,555,452329
312,139679,94,227,0,451567,560,452127
316,139678,94,228,0,451565,564,452129
320,139674,96,230,0,451614,571,452185
324,139674,96,230,0,454411,540,454951
328,139674,96,230,0,454604,540,455144
332,139673,97,230,0,452105,550,452655
336,139667,100,233,0,451367,560,451927
340,139666,97,237,0,449031,574,449605
344,139663,99,238,0,447604,587,448191
348,139663,99,238,0,450722,572,451294
352,139663,99,238,0,454108,572,454680
356,139660,101,239,0,451744,607,452351
360,139659,101,122,118,451258,594,451852
364,139658,101,123,118,451239,564,451803
368,139654,104,124,118,451486,537,452023
372,139654,104,124,118,454269,517,454786
376,139654,104,124,118,454628,517,455145
380,139650,107,125,118,451945,516,452461
384,139648,108,126,118,451320,486,451806
388,139648,108,126,118,449691,453,450144
392,139646,110,126,118,448366,426,448792
396,139646,110,126,118,450325,394,450719
400,139646,110,126,118,454298,394,454692
404,139643,110,129,118,451903,387,452290
408,139640,113,129,118,451367,356,451723
412,139638,108,136,118,451353,357,451710
416,139635,110,137,118,451389,341,451730
420,139635,110,137,118,454312,338,454650
424,139635,110,137,118,454807,338,455145
428,139634,110,138,118,452069,352,452421
432,139632,110,140,118,451316,344,451660
436,139632,108,142,118,450125,360,450485
440,139628,111,143,118,449200,373,449573
444,139627,111,144,118,450734,363,451097
448,139627,111,144,118,454326,363,454689
452,139625,113,144,118,451938,387,452325
