hora,hS,hE,hI,hR,vS,vI,mosq_total
0,139750,80,120,50,290261,208,290469
4,139747,83,120,50,393193,237,393430
8,139747,83,120,50,435380,268,435648
12,139747,83,120,50,452511,274,452785
16,139747,83,120,50,459518,274,459792
20,139747,83,120,50,462387,302,462689
24,139743,87,120,50,463494,340,463834
28,139741,89,120,50,463855,387,464242
32,139741,89,120,50,464010,434,464444
36,139741,89,120,50,464102,446,464548
40,139741,89,120,50,464148,446,464594
44,139738,92,120,50,464138,475,464613
48,139735,95,120,50,265116,355,265471
52,139733,97,120,50,332373,351,332724
56,139730,100,120,50,406798,351,407149
60,139729,101,120,50,437919,347,438266
64,139729,101,120,50,448584,347,448931
68,139725,105,120,50,452095,355,452450
72,139724,106,120,50,453605,354,453959
76,139722,108,120,50,454260,347,454607
80,139721,109,120,50,454514,335,454849
84,139721,109,120,50,454966,320,455286
88,139721,109,120,50,455008,320,455328
92,139719,111,120,50,454695,321,455016
96,139715,115,120,50,447831,314,448145
100,139712,118,120,50,430928,313,431241
104,139712,118,120,50,438097,329,438426
108,139712,118,120,50,450208,319,450527
112,139712,118,120,50,453566,319,453885
116,139711,119,120,50,453488,320,453808
120,139710,120,120,50,453764,324,454088
124,139710,120,120,50,453900,321,454221
128,139708,122,120,50,453974,316,454290
132,139708,122,120,50,455030,307,455337
136,139708,122,120,50,455063,307,455370
140,139708,122,120,50,454031,306,454337
144,139705,125,120,50,450389,309,450698
148,139704,126,120,50,441098,312,441410
152,139703,127,120,50,439367,321,439688
156,139703,127,120,50,451154,307,451461
160,139703,127,120,50,454025,307,454332
164,139700,130,120,50,452955,316,453271
168,139700,130,120,50,453239,315,453554
172,139698,132,120,50,453268,314,453582
176,139695,135,120,50,453355,317,453672
180,139695,135,120,50,455024,312,455336
184,139695,135,120,50,455055,312,455367
188,139695,135,120,50,453397,327,453724
192,139693,137,120,50,451345,326,451671
196,139692,138,120,50,445489,327,445816
200,139691,139,120,50,441499,309,441808
204,139691,139,120,50,451626,302,451928
208,139691,139,120,50,454251,302,454553
212,139690,140,120,50,452603,316,452919
216,139690,140,120,50,452794,310,453104
220,139689,141,120,50,452758,307,453065
224,139686,144,120,50,452843,311,453154
228,139686,144,120,50,455007,307,455314
232,139686,144,120,50,455057,307,455364
236,139685,145,120,50,452962,308,453270
240,139733,67,200,0,451938,311,452249
244,139731,66,203,0,447342,336,447678
248,139729,68,203,0,444089,371,444460
252,139728,69,203,0,451768,374,452142
256,139728,69,203,0,454278,374,454652
260,139728,69,203,0,452259,387,452646
264,139727,66,207,0,452272,418,452690
268,139726,65,209,0,452193,441,452634
272,139725,66,209,0,452249,460,452709
276,139725,66,209,0,454803,454,455257
280,139725,66,209,0,454913,454,455367
284,139724,64,212,0,452513,496,453009
288,139724,61,215,0,451827,529,452356
292,139722,61,217,0,448273,532,448805
296,139719,61,220,0,445963,529,446492
300,139719,60,221,0,451342,517,451859
304,139719,60,221,0,454286,517,454803
308,139715,60,225,0,451986,542,452528
312,139713,61,226,0,451791,560,452351
316,139707,65,228,0,451791,577,452368
320,139704,67,229,0,451973,582,452555
324,139703,68,229,0,454606,574,455180
328,139703,68,229,0,454793,574,455367
332,139702,67,231,0,452262,585,452847
336,139698,67,235,0,451601,614,452215
340,139697,65,238,0,449195,611,449806
344,139692,70,238,0,447498,622,448120
348,139689,73,238,0,450819,620,451439
352,139689,73,238,0,454244,620,454864
356,139689,72,239,0,451858,633,452491
360,139686,74,120,120,451453,611,452064
364,139684,76,120,120,451563,577,452140
368,139682,76,122,120,451627,543,452170
372,139682,76,122,120,454472,515,454987
376,139682,76,122,120,454852,515,455367
380,139681,77,122,120,452223,508,452731
384,139680,75,125,120,451642,457,452099
388,139677,77,126,120,449917,418,450335
392,139675,78,127,120,448801,380,449181
396,139675,78,127,120,450689,351,451040
400,139675,78,127,120,454566,351,454917
404,139673,77,130,120,452056,337,452393
408,139671,79,130,120,451498,337,451835
412,139669,79,132,120,451621,337,451958
416,139669,76,135,120,451576,335,451911
420,139669,76,135,120,454570,327,454897
424,139669,76,135,120,455040,327,455367
428,139668,77,135,120,452331,342,452673
432,139666,77,137,120,451496,345,451841
436,139663,79,138,120,450462,353,450815
440,139663,78,139,120,449429,342,449771
444,139663,78,139,120,450966,331,451297
448,139663,78,139,120,454635,331,454966
452,139663,77,140,120,452125,343,452468
456,139661,79,140,120,451475,342,451817
460,139657,82,141,120,451356,339,451695
464,139657,79,144,120,451437,343,451780
468,139656,80,144,120,454316,342,454658
472,139656,80,144,120,455023,342,455365
476,139654,81,145,120,452217,354,452571
480,139652,81,147,120,451468,358,451826
484,139651,80,149,120,450419,367,450786
488,139649,80,151,120,449717,397,450114
