hora,hS,hE,hI,hR,vS,vI,mosq_total
872,139691,80,148,81,450462,388,450850
876,139691,79,147,83,453009,391,453400
880,139691,79,147,83,454326,391,454717
884,139689,80,148,83,451857,401,452258
888,139688,85,146,81,450546,410,450956
892,139686,83,147,84,450430,425,450855
896,139688,83,144,85,450433,428,450861
900,139689,80,147,84,453115,415,453530
904,139689,80,147,84,454591,415,455006
908,139693,79,147,81,451869,432,452301
912,139691,81,147,81,450566,443,451009
916,139690,78,152,80,450435,428,450863
920,139688,74,158,80,450272,420,450692
924,139688,72,159,81,452965,408,453373
928,139688,72,159,81,454350,408,454758
932,139687,73,160,80,451957,418,452375
936,139689,72,160,79,450599,420,451019
940,139688,75,155,82,450387,432,450819
944,139691,75,151,83,450657,433,451090
948,139691,75,150,84,453179,423,453602
952,139691,75,150,84,454570,423,454993
956,139693,74,149,84,451970,426,452396
960,139693,75,147,85,450641,416,451057
964,139690,78,144,88,450321,417,450738
968,139691,77,141,91,450444,427,450871
972,139688,80,141,91,453063,409,453472
976,139688,80,141,91,454366,409,454775
980,139686,84,138,92,451959,416,452375
984,139684,85,140,91,450655,424,451079
988,139682,86,140,92,450441,413,450854
992,139683,85,140,92,450518,407,450925
996,139683,84,141,92,453134,398,453532
1000,139683,84,141,92,454600,398,454998
1004,139683,85,138,94,451877,411,452288
1008,139680,86,140,94,450590,419,451009
1012,139681,86,140,93,450447,403,450850
1016,139682,86,140,92,450462,408,450870
1020,139682,86,139,93,452979,400,453379
1024,139682,86,139,93,454427,400,454827
1028,139683,89,137,91,451849,405,452254
1032,139685,88,137,90,450684,396,451080
1036,139686,90,137,87,450377,412,450789
1040,139686,92,137,85,450638,415,451053
1044,139687,90,138,85,453136,414,453550
1048,139687,90,138,85,454571,414,454985
1052,139686,91,136,87,451954,430,452384
1056,139685,90,139,86,450675,432,451107
1060,139682,92,137,89,450482,434,450916
1064,139681,89,139,91,450452,433,450885
1068,139680,89,140,91,453116,421,453537
1072,139680,89,140,91,454405,421,454826
1076,139682,88,140,90,451858,427,452285
1080,139682,85,140,93,450543,435,450978
1084,139684,85,141,90,450479,439,450918
1088,139683,86,138,93,450437,433,450870
1092,139682,87,137,94,453079,416,453495
1096,139682,87,137,94,454565,416,454981
1100,139682,88,136,94,451859,428,452287
1104,139679,91,131,99,450625,422,451047
1108,139678,94,131,97,450463,427,450890
1112,139679,93,130,98,450449,415,450864
1116,139680,94,130,96,453080,409,453489
1120,139680,94,130,96,454427,409,454836
1124,139677,95,131,97,451898,421,452319
1128,139676,93,134,97,450646,412,451058
1132,139679,91,136,94,450573,401,450974
1136,139682,91,136,91,450367,392,450759
1140,139682,91,136,91,453091,382,453473
1144,139682,91,136,91,454602,382,454984
1148,139683,91,135,91,451913,380,452293
1152,139682,90,135,93,450726,384,451110
1156,139681,89,136,94,450501,382,450883
1160,139678,90,139,93,450434,390,450824
1164,139678,91,138,93,453097,383,453480
1168,139678,91,138,93,454476,383,454859
1172,139677,90,136,97,451927,394,452321
1176,139678,90,134,98,450678,380,451058
1180,139683,87,133,97,450478,387,450865
1184,139685,89,129,97,450504,375,450879
1188,139685,90,127,98,453235,371,453606
1192,139685,90,127,98,454600,371,454971
1196,139686,91,127,96,451907,377,452284
1200,139686,92,125,97,450698,377,451075
1204,139686,92,128,94,450590,365,450955
1208,139691,91,128,90,450394,352,450746
1212,139691,88,130,91,453106,338,453444
1216,139691,88,130,91,454526,338,454864
1220,139693,85,132,90,452064,341,452405
1224,139690,85,133,92,450687,344,451031
1228,139688,86,132,94,450703,334,451037
1232,139688,87,132,93,450621,315,450936
1236,139688,87,131,94,453130,307,453437
1240,139688,87,131,94,454655,307,454962
1244,139690,87,130,93,452047,319,452366
1248,139689,85,133,93,450765,324,451089
1252,139687,87,129,97,450510,323,450833
1256,139687,87,130,96,450463,315,450778
1260,139688,87,128,97,453201,313,453514
1264,139688,87,128,97,454545,313,454858
1268,139688,86,130,96,452040,337,452377
1272,139688,87,129,96,450732,345,451077
1276,139688,86,126,100,450437,359,450796
1280,139687,85,121,107,450389,364,450753
1284,139688,85,118,109,453112,361,453473
1288,139688,85,118,109,454582,361,454943
1292,139690,84,119,107,452020,367,452387
1296,139690,82,120,108,450578,343,450921
1300,139689,83,123,105,450450,344,450794
1304,139691,82,125,102,450505,346,450851
1308,139691,81,126,102,453215,343,453558
1312,139691,81,126,102,454515,343,454858
1316,139692,81,124,103,452088,338,452426
1320,139693,83,123,101,450777,343,451120
1324,139690,86,123,101,450553,345,450898
1328,139694,84,123,99,450446,353,450799
1332,139695,83,124,98,453143,348,453491
1336,139695,83,124,98,454603,348,454951
1340,139693,85,125,97,452011,360,452371
1344,139696,84,125,95,450679,362,451041
1348,139696,81,127,96,450532,356,450888
1352,139698,81,126,95,450510,377,450887
1356,139698,80,126,96,453064,368,453432
1360,139698,80,126,96,454503,368,454871
1364,139697,79,130,94,451870,367,452237
1368,139700,75,131,94,450641,376,451017
1372,139697,78,131,94,450559,380,450939
1376,139695,80,130,95,450454,378,450832
1380,139695,80,129,96,453091,368,453459
1384,139695,80,129,96,454575,368,454943
1388,139696,80,129,95,451974,372,452346
1392,139698,79,130,93,450681,375,451056
1396,139698,79,131,92,450503,376,450879
1400,139695,78,135,92,450548,357,450905
1404,139695,78,135,92,453198,355,453553
1408,139695,78,135,92,454525,355,454880
1412,139699,77,135,89,452001,383,452384
1416,139695,83,132,90,450723,387,451110
1420,139697,85,131,87,450580,382,450962
1424,139701,83,128,88,450471,391,450862
1428,139703,82,128,87,453190,381,453571
1432,139703,82,128,87,454580,381,454961
1436,139702,82,129,87,451966,386,452352
1440,139704,81,129,86,450730,391,451121
1444,139704,78,132,86,450444,396,450840
1448,139705,78,131,86,450384,415,450799
1452,139703,81,131,85,453058,393,453451
1456,139703,81,131,85,454496,393,454889
1460,139703,82,132,83,451946,392,452338
1464,139703,81,136,80,450629,400,451029
1468,139705,79,139,77,450416,405,450821
1472,139704,79,139,78,450487,397,450884
1476,139704,80,139,77,453064,384,453448
1480,139704,80,139,77,454562,384,454946
1484,139704,80,137,79,451879,417,452296
1488,139705,78,133,84,450764,417,451181
1492,139706,79,133,82,450430,417,450847
1496,139704,80,134,82,450411,406,450817
1500,139707,79,135,79,453068,392,453460
1504,139707,79,135,79,454525,392,454917
1508,139708,77,137,78,451925,408,452333
1512,139707,77,135,81,450705,409,451114
1516,139713,75,134,78,450397,408,450805
1520,139718,76,132,74,450519,411,450930
1524,139721,76,131,72,453165,396,453561
1528,139721,76,131,72,454542,396,454938
1532,139720,77,130,73,451927,399,452326
1536,139718,80,130,72,450760,388,451148
1540,139716,78,131,75,450381,383,450764
1544,139716,77,132,75,450386,372,450758
1548,139716,77,132,75,453155,364,453519
1552,139716,77,132,75,454560,364,454924
1556,139718,77,131,74,451959,381,452340
1560,139718,76,131,75,450823,384,451207
1564,139719,72,131,78,450360,380,450740
1568,139722,71,130,77,450482,376,450858
1572,139721,72,127,80,453180,360,453540
1576,139721,72,127,80,454576,360,454936
1580,139721,69,126,84,451957,365,452322
1584,139724,67,124,85,450792,366,451158
1588,139723,69,122,86,450620,357,450977
1592,139721,72,122,85,450455,357,450812
1596,139721,73,122,84,453068,349,453417
1600,139721,73,122,84,454593,349,454942
1604,139718,73,124,85,452012,349,452361
1608,139716,78,120,86,450872,339,451211
1612,139710,81,123,86,450573,337,450910
1616,139712,78,124,86,450505,346,450851
1620,139713,78,123,86,453142,345,453487
1624,139713,78,123,86,454602,345,454947
1628,139711,80,120,89,452041,355,452396
1632,139710,81,121,88,450841,347,451188
1636,139709,81,120,90,450498,364,450862
1640,139707,80,121,92,450597,363,450960
1644,139709,78,123,90,453020,359,453379
1648,139709,78,123,90,454573,359,454932
1652,139708,80,121,91,452077,370,452447
1656,139708,77,125,90,450636,368,451004
1660,139709,75,124,92,450571,362,450933
1664,139713,76,122,89,450458,363,450821
1668,139712,78,121,89,453142,348,453490
1672,139712,78,121,89,454602,348,454950
1676,139711,78,123,88,451842,358,452200
1680,139711,79,125,85,450762,364,451126
1684,139710,80,125,85,450466,351,450817
1688,139710,81,123,86,450493,359,450852
1692,139708,80,125,87,453125,355,453480
1696,139708,80,125,87,454570,355,454925
1700,139707,79,126,88,452051,369,452420
1704,139705,78,126,91,450686,360,451046
1708,139704,78,124,94,450613,374,450987
1712,139705,77,125,93,450467,382,450849
1716,139704,77,125,94,453158,366,453524
1720,139704,77,125,94,454584,366,454950
1724,139706,77,122,95,451972,389,452361
1728,139710,79,118,93,450661,373,451034
1732,139710,78,121,91,450547,375,450922
1736,139710,76,123,91,450386,373,450759
1740,139709,77,123,91,453047,358,453405
1744,139709,77,123,91,454581,358,454939
1748,139706,80,123,91,451941,354,452295
1752,139708,80,122,90,450652,359,451011
1756,139709,82,120,89,450520,362,450882
1760,139709,83,118,90,450467,342,450809
1764,139710,83,116,91,453066,329,453395
1768,139710,83,116,91,454588,329,454917
1772,139711,82,117,90,451985,345,452330
1776,139708,83,120,89,450675,341,451016
1780,139710,82,122,86,450552,353,450905
1784,139707,85,120,88,450544,362,450906
1788,139707,85,119,89,453112,358,453470
1792,139707,85,119,89,454567,358,454925
1796,139707,86,117,90,451899,374,452273
1800,139707,87,115,91,450639,374,451013
1804,139707,91,111,91,450451,363,450814
1808,139707,93,110,90,450428,372,450800
1812,139710,92,111,87,453081,368,453449
1816,139710,92,111,87,454556,368,454924
1820,139712,94,110,84,451997,377,452374
1824,139714,96,106,84,450728,377,451105
1828,139711,99,105,85,450574,368,450942
1832,139708,99,107,86,450528,367,450895
1836,139708,98,108,86,453126,352,453478
1840,139708,98,108,86,454581,352,454933
1844,139707,97,110,86,451964,348,452312
1848,139710,93,113,84,450736,358,451094
1852,139710,87,117,86,450347,362,450709
1856,139708,91,115,86,450445,347,450792
1860,139708,92,114,86,453162,336,453498
1864,139708,92,114,86,454598,336,454934
1868,139710,91,114,85,452012,333,452345
1872,139711,88,115,86,450789,337,451126
1876,139711,89,115,85,450519,335,450854
1880,139709,91,116,84,450549,338,450887
1884,139709,91,116,84,453216,336,453552
1888,139709,91,116,84,454593,336,454929
1892,139708,92,117,83,451964,340,452304
1896,139709,90,120,81,450878,341,451219
1900,139711,91,116,82,450443,335,450778
1904,139712,91,116,81,450617,331,450948
1908,139713,89,118,80,453198,321,453519
1912,139713,89,118,80,454609,321,454930
1916,139710,90,120,80,452189,322,452511
1920,139705,92,121,82,450631,327,450958
1924,139706,90,119,85,450474,326,450800
1928,139709,88,120,83,450401,328,450729
1932,139710,86,122,82,453205,325,453530
1936,139710,86,122,82,454610,325,454935
1940,139711,85,120,84,452037,331,452368
1944,139714,83,120,83,450758,330,451088
1948,139718,81,121,80,450359,322,450681
1952,139718,81,121,80,450501,321,450822
1956,139719,80,122,79,453118,319,453437
1960,139719,80,122,79,454617,319,454936
1964,139721,81,120,78,452042,331,452373
1968,139724,80,122,74,450773,329,451102
1972,139723,79,121,77,450621,329,450950
1976,139720,82,119,79,450562,324,450886
1980,139720,81,120,79,453089,313,453402
1984,139720,81,120,79,454616,313,454929
1988,139719,79,123,79,451968,329,452297
1992,139720,79,123,78,450801,329,451130
1996,139722,77,123,78,450400,335,450735
2000,139724,75,123,78,450440,341,450781
2004,139726,75,121,78,453220,338,453558
2008,139726,75,121,78,454599,338,454937
2012,139726,75,122,77,452067,345,452412
2016,139724,73,120,83,450740,344,451084
2020,139722,74,119,85,450469,360,450829
2024,139722,73,122,83,450386,369,450755
2028,139722,74,122,82,453111,369,453480
2032,139722,74,122,82,454555,369,454924
2036,139720,77,121,82,452018,380,452398
2040,139722,76,121,81,450638,399,451037
2044,139723,75,124,78,450454,395,450849
2048,139722,75,125,78,450447,400,450847
2052,139720,77,122,81,453135,389,453524
2056,139720,77,122,81,454551,389,454940
2060,139721,75,122,82,451942,396,452338
2064,139723,75,121,81,450647,393,451040
2068,139725,71,125,79,450568,394,450962
2072,139725,69,127,79,450367,411,450778
2076,139725,69,126,80,453121,390,453511
