hora,hS,hE,hI,hR,vS,vI,mosq_total
0,139751,80,119,50,117120,201,117321
4,139750,81,119,50,158097,205,158302
8,139748,83,119,50,174501,222,174723
12,139748,83,119,50,181443,226,181669
16,139748,83,119,50,184164,226,184390
20,139748,83,119,50,185185,235,185420
24,139745,86,119,50,185584,253,185837
28,139744,87,119,50,185720,269,185989
32,139743,88,119,50,185818,288,186106
36,139742,89,119,50,185865,292,186157
40,139742,89,119,50,185885,292,186177
44,139742,89,119,50,185886,297,186183
48,139742,89,119,50,105209,156,105365
52,139742,89,119,50,131644,153,131797
56,139742,89,119,50,161427,150,161577
60,139742,89,119,50,174215,143,174358
64,139742,89,119,50,179050,143,179193
68,139742,89,119,50,180545,144,180689
72,139742,89,119,50,181292,146,181438
76,139741,90,119,50,181601,141,181742
80,139741,90,119,50,181665,129,181794
84,139740,91,119,50,181902,122,182024
88,139740,91,119,50,181928,122,182050
92,139738,93,119,50,181800,125,181925
96,139738,93,119,50,179225,119,179344
100,139736,95,119,50,172590,132,172722
104,139734,97,119,50,175213,146,175359
108,139734,97,119,50,179807,149,179956
112,139734,97,119,50,181161,149,181310
116,139731,100,119,50,181276,157,181433
120,139730,101,119,50,181409,156,181565
124,139729,102,119,50,181414,156,181570
128,139728,103,119,50,181453,165,181618
132,139728,103,119,50,181892,157,182049
136,139728,103,119,50,181907,157,182064
140,139728,103,119,50,181422,162,181584
144,139724,107,119,50,180029,169,180198
148,139723,108,119,50,176767,156,176923
152,139723,108,119,50,175832,147,175979
156,139723,108,119,50,180317,142,180459
160,139723,108,119,50,181460,142,181602
164,139722,109,119,50,181089,143,181232
168,139721,110,119,50,181180,143,181323
172,139721,110,119,50,181159,146,181305
176,139720,111,119,50,181257,138,181395
180,139720,111,119,50,181917,132,182049
184,139720,111,119,50,181937,132,182069
188,139720,111,119,50,181288,139,181427
192,139720,111,119,50,180598,131,180729
196,139719,112,119,50,178216,130,178346
200,139718,113,119,50,176367,125,176492
204,139718,113,119,50,180377,123,180500
208,139718,113,119,50,181534,123,181657
212,139717,114,119,50,181008,128,181136
216,139715,116,119,50,180982,125,181107
220,139714,117,119,50,181048,128,181176
224,139714,117,119,50,181064,131,181195
228,139714,117,119,50,181913,128,182041
232,139714,117,119,50,181941,128,182069
236,139714,117,119,50,181170,134,181304
240,139763,38,199,0,180670,145,180815
244,139763,37,200,0,178923,159,179082
248,139762,36,202,0,177748,171,177919
252,139761,37,202,0,180508,172,180680
256,139761,37,202,0,181617,172,181789
260,139760,38,202,0,180869,189,181058
264,139760,35,205,0,180749,203,180952
268,139758,36,206,0,180792,217,181009
272,139758,35,207,0,180703,221,180924
276,139756,36,208,0,181814,220,182034
280,139756,36,208,0,181849,220,182069
284,139756,36,208,0,180915,221,181136
288,139754,38,208,0,180534,226,180760
292,139753,39,208,0,179278,234,179512
296,139751,41,208,0,178500,240,178740
300,139751,41,208,0,180466,232,180698
304,139751,41,208,0,181584,232,181816
308,139748,44,208,0,180705,244,180949
312,139745,47,208,0,180535,248,180783
316,139742,49,209,0,180624,241,180865
320,139741,50,209,0,180636,248,180884
324,139741,49,210,0,181734,240,181974
328,139741,49,210,0,181828,240,182068
332,139740,48,212,0,180726,255,180981
336,139740,48,212,0,180580,258,180838
340,139738,48,214,0,179478,257,179735
344,139736,48,216,0,178870,252,179122
348,139735,49,216,0,180279,244,180523
352,139735,49,216,0,181568,244,181812
356,139734,47,219,0,180674,245,180919
360,139733,47,101,119,180434,234,180668
364,139733,46,102,119,180537,217,180754
368,139733,45,103,119,180538,200,180738
372,139732,46,103,119,181767,187,181954
376,139732,46,103,119,181883,187,182070
380,139732,46,103,119,180813,186,180999
384,139731,43,107,119,180556,174,180730
388,139731,42,108,119,179954,155,180109
392,139730,43,108,119,179608,139,179747
396,139729,44,108,119,180080,125,180205
400,139729,44,108,119,181747,125,181872
404,139728,44,109,119,180813,120,180933
408,139728,43,110,119,180605,111,180716
412,139728,43,110,119,180577,112,180689
416,139728,42,111,119,180553,112,180665
420,139728,42,111,119,181770,106,181876
424,139728,42,111,119,181962,106,182068
428,139728,42,111,119,180833,113,180946
432,139727,43,111,119,180616,121,180737
436,139726,43,112,119,180058,124,180182
440,139726,42,113,119,179719,129,179848
444,139726,42,113,119,180290,127,180417
448,139726,42,113,119,181768,127,181895
452,139726,41,114,119,180783,135,180918
456,139725,40,116,119,180522,140,180662
460,139724,40,117,119,180533,142,180675
464,139724,40,117,119,180495,137,180632
468,139723,41,117,119,181642,139,181781
472,139723,41,117,119,181931,139,182070
476,139723,41,117,119,180912,143,181055
480,139721,42,118,119,180562,142,180704
484,139721,42,118,119,180094,154,180248
488,139718,44,119,119,179747,156,179903
492,139718,43,120,119,180489,153,180642
496,139718,43,120,119,181765,153,181918
500,139717,43,121,119,180790,154,180944
504,139716,44,121,119,180456,153,180609
508,139716,42,123,119,180530,149,180679
512,139713,45,123,119,180441,150,180591
516,139713,43,125,119,181591,147,181738
520,139713,43,125,119,181923,147,182070
524,139712,44,125,119,180754,153,180907
528,139711,43,127,119,180381,161,180542
532,139711,42,128,119,180204,160,180364
536,139710,41,130,119,179963,157,180120
540,139710,41,130,119,180719,151,180870
