hora,hS,hE,hI,hR,vS,vI,mosq_total
0,139751,80,119,50,232950,207,233157
4,139750,81,119,50,315026,230,315256
8,139748,83,119,50,348599,262,348861
12,139748,83,119,50,362090,268,362358
16,139748,83,119,50,367694,268,367962
20,139746,85,119,50,370006,299,370305
24,139744,87,119,50,371030,333,371363
28,139744,87,119,50,371515,357,371872
32,139744,87,119,50,371666,384,372050
36,139743,88,119,50,371724,389,372113
40,139743,88,119,50,371731,389,372120
44,139742,89,119,50,371730,411,372141
48,139740,91,119,50,211235,261,211496
52,139736,95,119,50,264887,257,265144
56,139734,97,119,50,323780,252,324032
60,139734,97,119,50,348535,245,348780
64,139734,97,119,50,357692,245,357937
68,139734,97,119,50,360645,244,360889
72,139730,101,119,50,361899,239,362138
76,139729,102,119,50,362564,238,362802
80,139725,106,119,50,362836,242,363078
84,139725,106,119,50,363186,235,363421
88,139725,106,119,50,363252,235,363487
92,139724,107,119,50,363061,236,363297
96,139723,108,119,50,357651,249,357900
100,139721,110,119,50,343895,266,344161
104,139720,111,119,50,349674,259,349933
108,139720,111,119,50,359466,254,359720
112,139720,111,119,50,362021,254,362275
116,139718,113,119,50,361999,272,362271
120,139717,114,119,50,362197,271,362468
124,139715,116,119,50,362344,267,362611
128,139714,117,119,50,362366,256,362622
132,139714,117,119,50,363255,253,363508
136,139714,117,119,50,363261,253,363514
140,139714,117,119,50,362433,256,362689
144,139711,120,119,50,359420,254,359674
148,139710,121,119,50,352513,243,352756
152,139710,121,119,50,350613,254,350867
156,139710,121,119,50,360195,249,360444
160,139710,121,119,50,362371,249,362620
164,139707,124,119,50,361632,255,361887
168,139705,126,119,50,361744,258,362002
172,139704,127,119,50,361846,262,362108
176,139702,129,119,50,361880,262,362142
180,139702,129,119,50,363233,252,363485
184,139702,129,119,50,363270,252,363522
188,139700,131,119,50,361990,262,362252
192,139700,131,119,50,360235,257,360492
196,139696,135,119,50,355757,245,356002
200,139695,136,119,50,352613,240,352853
204,139693,138,119,50,360503,242,360745
208,139693,138,119,50,362602,242,362844
212,139692,139,119,50,361435,252,361687
216,139690,141,119,50,361358,249,361607
220,139690,141,119,50,361442,239,361681
224,139688,143,119,50,361495,242,361737
228,139688,143,119,50,363235,243,363478
232,139688,143,119,50,363278,243,363521
236,139687,144,119,50,361639,254,361893
240,139733,68,199,0,360746,267,361013
244,139733,67,200,0,357090,302,357392
248,139730,68,202,0,354843,315,355158
252,139729,69,202,0,360528,308,360836
256,139729,69,202,0,362683,308,362991
260,139729,67,204,0,361121,329,361450
264,139726,68,206,0,360938,347,361285
268,139725,69,206,0,361083,375,361458
272,139724,70,206,0,361089,391,361480
276,139723,70,207,0,363054,395,363449
280,139723,70,207,0,363127,395,363522
284,139721,71,208,0,361231,420,361651
288,139721,69,210,0,360565,439,361004
292,139718,68,214,0,358070,442,358512
296,139716,68,216,0,355990,438,356428
300,139716,68,216,0,360227,427,360654
304,139716,68,216,0,362679,427,363106
308,139716,68,216,0,360829,451,361280
312,139713,67,220,0,360607,450,361057
316,139712,67,221,0,360674,475,361149
320,139710,65,225,0,360678,478,361156
324,139710,65,225,0,362909,462,363371
328,139710,65,225,0,363061,462,363523
332,139710,64,226,0,361023,459,361482
336,139706,67,227,0,360562,455,361017
340,139705,66,229,0,358560,459,359019
344,139700,70,230,0,357267,464,357731
348,139700,70,230,0,360042,462,360504
352,139700,70,230,0,362649,462,363111
356,139700,68,232,0,360783,467,361250
360,139693,74,114,119,360400,474,360874
364,139690,75,116,119,360495,440,360935
368,139689,75,117,119,360569,424,360993
372,139688,76,117,119,362856,416,363272
376,139688,76,117,119,363106,416,363522
380,139686,78,117,119,361045,406,361451
384,139683,78,120,119,360472,384,360856
388,139682,78,121,119,359192,373,359565
392,139681,79,121,119,358187,349,358536
396,139681,79,121,119,359677,326,360003
400,139681,79,121,119,362821,326,363147
404,139681,76,124,119,360935,316,361251
408,139680,75,126,119,360336,293,360629
412,139678,76,127,119,360494,282,360776
416,139678,74,129,119,360529,284,360813
420,139678,74,129,119,362912,270,363182
424,139678,74,129,119,363251,270,363521
428,139676,74,131,119,361031,274,361305
432,139674,76,131,119,360482,289,360771
436,139674,72,135,119,359483,300,359783
440,139674,71,136,119,358695,295,358990
444,139672,71,138,119,359774,292,360066
448,139672,71,138,119,362920,292,363212
452,139670,72,139,119,360952,314,361266
456,139669,71,141,119,360349,319,360668
